Probe set,Descriptions,BCR-ABL-R4 Avg Diff,BCR-ABL-R4 Abs Call,MLL-R5 Avg Diff,MLL-R5 Abs Call,Normal-R4 Avg Diff,Normal-R4 Abs Call,T-ALL-R7 Avg Diff,T-ALL-R7 Abs Call,T-ALL-R8 Avg Diff,T-ALL-R8 Abs Call,Hyperdip>50-2M#3 Avg Diff,Hyperdip>50-2M#3 Abs Call,Hypodip-2M#3 Avg Diff,Hypodip-2M#3 Abs Call,Hypodip-2M#2 Avg Diff,Hypodip-2M#2 Abs Call
34436_at,"Cluster Incl. U90545:Human sodium phosphate transporter (NPT4) mRNA, complete cds /cds=(376,1581) /gb=U90545 /gi=2062691 /ug=Hs.104635 /len=1780",1794.8,A,857.70000000000005,A,600.29999999999995,A,-146.5,A,1378.8,A,1652.5,P,1070.9000000000001,A,2359.5999999999999,P
34437_at,"Cluster Incl. U82469:Human tubby related protein 2 (TULP2) mRNA, complete cds /cds=(93,1655) /gb=U82469 /gi=2072163 /ug=Hs.104636 /len=1702",1738.3,A,-972.89999999999998,A,991.20000000000005,A,-249,A,1772.4000000000001,A,442.19999999999999,A,562.10000000000002,A,446.80000000000001,A
34438_at,"Cluster Incl. U71364:Human serine proteinase inhibitor (P19) mRNA, complete cds /cds=(113,1243) /gb=U71364 /gi=1613849 /ug=Hs.104879 /len=1626",1331.8,P,-204.09999999999999,A,4279.3999999999996,P,4114.8999999999996,A,225.40000000000001,A,5453.8999999999996,P,5565.1000000000004,A,5127.6000000000004,P
34439_at,"Cluster Incl. AF024714:Homo sapiens interferon-inducible protein (AIM2) mRNA, complete cds /cds=(245,1276) /gb=AF024714 /gi=2558941 /ug=Hs.105115 /len=1485",371.89999999999998,A,958.29999999999995,A,472.5,A,859.5,A,339.30000000000001,A,535.29999999999995,A,303.10000000000002,A,544,A
34440_at,"Cluster Incl. L77571:Homo sapiens DGS-A mRNA, 3 end /cds=UNKNOWN /gb=L77571 /gi=1377757 /ug=Hs.106311 /len=2309",530.10000000000002,A,719.10000000000002,A,1071.0999999999999,P,-892.20000000000005,A,1039.3,A,359.30000000000001,A,844,A,-262.89999999999998,A
34441_at,Cluster Incl. AF052090:Homo sapiens clone 23950 mRNA sequence /cds=UNKNOWN /gb=AF052090 /gi=3360396 /ug=Hs.106620 /len=1242,522.10000000000002,A,1661.7,A,-1144.3,A,874.29999999999995,A,1543.5999999999999,A,68.900000000000006,A,-543.39999999999998,A,1071.0999999999999,A
34442_at,Cluster Incl. U72943:U72943 Homo sapiens cDNA /gb=U72943 /gi=5763294 /ug=Hs.106642 /len=1667,-1474.0999999999999,A,-886.70000000000005,A,-3789.4000000000001,A,-3278.5999999999999,A,-3050.6999999999998,A,-4215.1999999999998,A,-3791.5999999999999,A,-4183.3999999999996,A
34443_at,"Cluster Incl. R61362:yh15c05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-37870 /clone_end=3   /gb=R61362 /gi=832057 /ug=Hs.106642 /len=475",1208.7,A,-3460.4000000000001,A,-119.5,A,453.5,A,-446.19999999999999,A,396.30000000000001,A,878.79999999999995,A,-197.19999999999999,A
34444_at,"Cluster Incl. Y08902:Homo sapiens mRNA for hypothetical protein (clone c-0xb04; 23766) /cds=(268,603) /gb=Y08902 /gi=3808150 /ug=Hs.106688 /len=2441",200.5,A,1905,A,-411,A,396.39999999999998,A,-97.099999999999994,A,583.29999999999995,P,239,A,371.89999999999998,A
34445_at,"Cluster Incl. AB007940:Homo sapiens mRNA for KIAA0471 protein, complete cds /cds=(412,1524) /gb=AB007940 /gi=3413903 /ug=Hs.107325 /len=6834",1357.0999999999999,A,-1972.2,A,2706.9000000000001,P,816.5,A,613.29999999999995,A,883.20000000000005,A,4405.1999999999998,P,1765.5,A
34446_at,"Cluster Incl. AL049701:Human gene from PAC 433G19, chromosome 1 /cds=(0,370) /gb=AL049701 /gi=4678835 /ug=Hs.107325 /len=648",4774.6000000000004,P,1062.5999999999999,A,1242.0999999999999,A,824,A,-865.5,A,332.80000000000001,A,6362.6000000000004,P,948.29999999999995,A
34447_at,"Cluster Incl. U62433:Human nicotinic acetylcholine receptor alpha4 subunit precursor, mRNA, complete cds /cds=(231,2114) /gb=U62433 /gi=1458113 /ug=Hs.10734 /len=3343",-1097.9000000000001,A,220.5,A,-1446.2,A,1787.3,A,-3583.5,A,-1969.7,A,140.59999999999999,A,-3238.0999999999999,A
34448_s_at,"Cluster Incl. U13021:Human positive regulator of programmed cell death ICH-1L (Ich-1) mRNA, complete cds /cds=(13,1320) /gb=U13021 /gi=537291 /ug=Hs.108131 /len=1456",-982.29999999999995,A,453.89999999999998,A,-288.10000000000002,A,83,A,294.30000000000001,A,-776.10000000000002,A,-676.70000000000005,A,-567.60000000000002,A
34449_at,"Cluster Incl. U13022:Human negative regulator of programmed cell death ICH-1S (Ich-1) mRNA, complete cds /cds=(88,1026) /gb=U13022 /gi=537293 /ug=Hs.108131 /len=2167",41.200000000000003,A,2134.9000000000001,A,772.89999999999998,A,1711.0999999999999,A,-558.60000000000002,A,1910.7,P,1163.0999999999999,A,736.70000000000005,A
34450_at,"Cluster Incl. M73489:Human heat-stable enterotoxin receptor mRNA, complete cds /cds=(48,3269) /gb=M73489 /gi=338501 /ug=Hs.1085 /len=3745",-1059.8,A,141.59999999999999,A,319.19999999999999,A,264.39999999999998,A,636.10000000000002,A,-279.5,A,852.60000000000002,A,734.29999999999995,A
34451_at,"Cluster Incl. AI190165:qd57d10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1733587 /clone_end=3   /gb=AI190165 /gi=3741374 /ug=Hs.108931 /len=794",-1531.7,A,1204.3,A,-372,A,354.19999999999999,A,-1643.5,A,177.09999999999999,A,795.10000000000002,A,-214.59999999999999,A
34452_at,"Cluster Incl. X95237:H.sapiens mRNA for cysteine-rich secretory protein-1 /cds=(73,822) /gb=X95237 /gi=1262814 /ug=Hs.109620 /len=1868",236.80000000000001,A,2910.8000000000002,A,-700.20000000000005,A,-320.60000000000002,A,2056.6999999999998,P,-600.39999999999998,A,-604.79999999999995,A,225.19999999999999,A
34453_at,"Cluster Incl. H19081:yn51e03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-171964 /clone_end=5   /gb=H19081 /gi=885321 /ug=Hs.110194 /len=388",-285.60000000000002,A,3984.9000000000001,A,1179.8,A,-632.89999999999998,A,667,A,1927.5,A,1556.0999999999999,A,3104,P
34454_r_at,"Cluster Incl. U32576:Human apolipoprotein apoC-IV (APOC4) gene, complete cds /cds=(40,423) /gb=U32576 /gi=975892 /ug=Hs.110675 /len=613",6188.6999999999998,A,8128.1000000000004,A,5659.5,A,8318.1000000000004,A,7682.6999999999998,A,4610.1000000000004,P,-532.10000000000002,A,2179.9000000000001,A
34455_at,"Cluster Incl. AL080125:Homo sapiens mRNA; cDNA DKFZp572P0920 (from clone DKFZp572P0920) /cds=(0,1695) /gb=AL080125 /gi=5262559 /ug=Hs.110956 /len=2171",-5.5999999999999996,A,-2350.5,A,1006.2,A,-567.5,A,1434.3,A,424.39999999999998,A,1195.5999999999999,A,168.30000000000001,A
34456_s_at,"Cluster Incl. AB007296:Homo sapiens mRNA for hGLI2, complete cds, clone-hGli2b /cds=(571,4296) /gb=AB007296 /gi=3061315 /ug=Hs.111867 /len=4909",-1415.3,A,-4354.3000000000002,A,-1161.5,A,207.19999999999999,A,-2041.5999999999999,A,-114.2,A,295.69999999999999,A,-2142.5,A
34457_at,"Cluster Incl. U76010:Human putative zinc transporter ZnT-3 (ZnT-3) mRNA, complete cds /cds=(83,1249) /gb=U76010 /gi=1763375 /ug=Hs.111967 /len=1989",3344.6999999999998,A,7229.1999999999998,A,3831.8000000000002,A,2908.5,P,5846.8999999999996,A,5520.3000000000002,P,2611.9000000000001,A,6351.3999999999996,A
34458_at,"Cluster Incl. AA586894:nn68c06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1089034 /clone_end=3   /gb=AA586894 /gi=2397708 /ug=Hs.112408 /len=443",-537.60000000000002,A,-1441.5,A,-703.89999999999998,A,-1314.5999999999999,A,-1303.0999999999999,A,30.5,A,-467.30000000000001,A,-585.39999999999998,A
34459_at,"Cluster Incl. U50529:Human BRCA2 region, mRNA sequence CG016 /cds=UNKNOWN /gb=U50529 /gi=1531600 /ug=Hs.112434 /len=2812",3287.4000000000001,P,-517.20000000000005,A,-201.09999999999999,A,-341.19999999999999,A,-642.5,A,464.39999999999998,A,967.70000000000005,A,818,A
34460_at,"Cluster Incl. AB014512:Homo sapiens mRNA for KIAA0612 protein, partial cds /cds=(0,5212) /gb=AB014512 /gi=3327037 /ug=Hs.112499 /len=6458",3313.5999999999999,A,-2621.6999999999998,A,826.79999999999995,A,1158.3,A,-1688,A,1502.4000000000001,A,11244,P,7479.5,P
34461_at,"Cluster Incl. D67035:Homo sapiens mRNA for SCP-1, complete cds /cds=(176,3097) /gb=D67035 /gi=2467368 /ug=Hs.112743 /len=3446",1911.9000000000001,A,905.5,A,548,A,-544,A,864.29999999999995,A,518.39999999999998,A,472.69999999999999,A,-551.20000000000005,A
34462_at,"Cluster Incl. U38254:Human amiloride sensitive sodium channel delta subunit (dNaCh) mRNA, complete cds /cds=(0,1916) /gb=U38254 /gi=1066456 /ug=Hs.112842 /len=1917",-956,A,-1475.2,A,-1757,A,-1564.7,A,-899.10000000000002,A,-2304.3000000000002,A,-3486.5999999999999,A,-1807.5,A
34463_at,"Cluster Incl. M55983:Human DNase I mRNA, complete cds /cds=(159,1007) /gb=M55983 /gi=181623 /ug=Hs.113221 /len=1039",1857,A,9028.8999999999996,A,2171.1999999999998,P,1829.2,A,3326,A,3723.5999999999999,A,3332,A,2077.5,M
34464_at,"Cluster Incl. X13227:Human mRNA for D-amino acid oxidase (EC 1.4.3.3) /cds=(200,1243) /gb=X13227 /gi=30445 /ug=Hs.113227 /len=1633",-628.70000000000005,A,-22.899999999999999,A,-772.10000000000002,A,-991.79999999999995,A,-2248.8000000000002,A,-202.40000000000001,A,-1282.3,A,-413.30000000000001,A
34465_at,"Cluster Incl. AF014459:Homo sapiens X-linked juvenile retinoschisis precursor protein (XLRS1) mRNA, complete cds /cds=(15,689) /gb=AF014459 /gi=3169694 /ug=Hs.113250 /len=2772",1036.0999999999999,A,798.29999999999995,A,-547.10000000000002,A,826.10000000000002,A,304,A,-47.799999999999997,A,186.09999999999999,A,-362.80000000000001,A
34466_at,"Cluster Incl. Y12505:H.sapiens mRNA for serotonin receptor 5-HT4B, splice variant /cds=(18,1184) /gb=Y12505 /gi=2661756 /ug=Hs.113262 /len=1328",70.5,A,2726.4000000000001,A,-993.39999999999998,A,1296.5999999999999,A,-1973.2,A,-521.5,A,2227.9000000000001,A,2700.1999999999998,P
34467_g_at,"Cluster Incl. Y12505:H.sapiens mRNA for serotonin receptor 5-HT4B, splice variant /cds=(18,1184) /gb=Y12505 /gi=2661756 /ug=Hs.113262 /len=1328",1359.8,A,4545.6999999999998,A,2152.4000000000001,M,3018.3000000000002,P,2848.4000000000001,A,2756.8000000000002,P,1423.5,A,3722.0999999999999,P
34468_at,"Cluster Incl. Y08756:H.sapiens mRNA for serotonin receptor 5-HT4 /cds=(18,1181) /gb=Y08756 /gi=2661732 /ug=Hs.113262 /len=1336",-2236.5,A,-4862.8000000000002,A,803.5,A,1226.7,A,-3598.3000000000002,A,154.69999999999999,A,-948.89999999999998,A,-731.39999999999998,A
34469_at,"Cluster Incl. X84746:H.sapiens Histo-blood group AB0 gene, exon 1 /cds=(0,1064) /gb=X84746 /gi=732765 /ug=Hs.113271 /len=1065",802,A,2944.1999999999998,A,1062.2,M,1449.5999999999999,A,4029.5999999999999,P,2080.3000000000002,A,1077.3,A,1314.5,A
34470_at,"Cluster Incl. D43945:Homo sapiens mRNA for TFEC isoform (or TFECL), complete cds /cds=(182,1225) /gb=D43945 /gi=2347002 /ug=Hs.113274 /len=1805",1021.6,A,-64.299999999999997,A,356.10000000000002,A,16.399999999999999,A,512.5,A,-754.89999999999998,A,226.59999999999999,A,496.19999999999999,A
34471_at,"Cluster Incl. M36769:Homo sapiens perinatal myosin heavy chain mRNA, complete cds /cds=(73,5886) /gb=M36769 /gi=189033 /ug=Hs.113973 /len=6016",-858.79999999999995,A,1178.7,A,-240.80000000000001,A,-1760.5,A,-2063.6999999999998,A,-601,A,6.0999999999999996,A,-1851.5,A
34472_at,"Cluster Incl. AB012911:Homo sapiens mRNA for Frizzled-6, complete cds /cds=(258,2378) /gb=AB012911 /gi=3062802 /ug=Hs.114218 /len=3342",5435.8999999999996,P,346.60000000000002,A,1856.2,P,984.39999999999998,A,8095.1000000000004,P,700,A,3268.3000000000002,P,2164.1999999999998,P
34473_at,"Cluster Incl. AF051151:Homo sapiens Toll/interleukin-1 receptor-like protein 3 (TIL3) mRNA, complete cds /cds=(703,3279) /gb=AF051151 /gi=3132525 /ug=Hs.114408 /len=3431",525.20000000000005,A,-3977.8000000000002,A,-874.89999999999998,A,141.90000000000001,A,-1662.7,A,-164.5,A,-500,A,-172.09999999999999,A
34474_at,Cluster Incl. W28429:49e1 Homo sapiens cDNA /gb=W28429 /gi=1308584 /ug=Hs.114746 /len=776,-1723.7,A,2072.5,A,563.79999999999995,A,7.9000000000000004,A,382.69999999999999,A,575.5,A,-496.30000000000001,A,-229.90000000000001,A
34475_at,Cluster Incl. L34408:Homo Sapiens (clone B3B3E13) chromosome 4p16.3 DNA fragment /cds=UNKNOWN /gb=L34408 /gi=600518 /ug=Hs.114963 /len=1677,2325,A,3486.0999999999999,A,-606.10000000000002,A,1851.9000000000001,P,564.60000000000002,A,404.89999999999998,A,1407.5,A,3255,A
34476_r_at,"Cluster Incl. D30783:Homo sapiens mRNA for epiregulin, complete cds /cds=(166,675) /gb=D30783 /gi=2381480 /ug=Hs.115263 /len=4627",-863.79999999999995,A,1069.7,A,597,P,123.8,A,386.60000000000002,A,-498,A,-8.0999999999999996,A,535.39999999999998,A
34477_at,"Cluster Incl. AF000994:Homo sapiens ubiquitous TPR motif, Y isoform (UTY) mRNA, alternative transcript 3, complete cds /cds=(1005,5048) /gb=AF000994 /gi=2580573 /ug=Hs.115277 /len=6466",2989.5,P,-836.20000000000005,A,1486.0999999999999,A,1795.8,A,-4.2000000000000002,A,-15.699999999999999,A,1294.2,A,-23.899999999999999,A
34478_at,"Cluster Incl. X79780:H.sapiens YPT3 mRNA /cds=(6,662) /gb=X79780 /gi=763129 /ug=Hs.115279 /len=701",2052.8000000000002,A,-161.90000000000001,A,-234.5,A,3082.1999999999998,P,862.5,A,2204.4000000000001,P,1172.5999999999999,A,1562.3,P
34479_at,"Cluster Incl. D88532:Homo sapiens mRNA for p55pik, complete cds /cds=(420,1805) /gb=D88532 /gi=1661000 /ug=Hs.115300 /len=3371",-741.70000000000005,A,-1320.3,A,536.5,A,-468.89999999999998,A,736,A,338.30000000000001,A,612.60000000000002,A,1109.0999999999999,P
34480_at,"Cluster Incl. AF016272:Homo sapiens Ksp-cadherin (CDH16) mRNA, complete cds /cds=(37,2526) /gb=AF016272 /gi=3523100 /ug=Hs.115418 /len=2764",1295.7,A,8470.2999999999993,A,2962.6999999999998,A,1463.5,A,4053.6999999999998,A,2284.6999999999998,A,711.39999999999998,A,5785.3000000000002,P
34481_at,"Cluster Incl. AF030227:untitled /cds=(97,2634) /gb=AF030227 /gi=3282618 /ug=Hs.116237 /len=2888",4217.1000000000004,A,5030.8000000000002,A,8884.8999999999996,P,16258.6,P,9939.7000000000007,P,13835,P,5444,P,9872.6000000000004,P
34482_at,"Cluster Incl. AF040964:Homo sapiens unknown protein IT1 mRNA, partial cds /cds=(0,1816) /gb=AF040964 /gi=2792363 /ug=Hs.116771 /len=1903",1088.0999999999999,A,-1259.3,A,1359.3,P,1702.5,M,-2451.0999999999999,A,484.60000000000002,A,823.5,A,-836.10000000000002,A
34483_at,"Cluster Incl. D86358:Homo sapiens mRNA for CD33L1, complete cds /cds=(236,1564) /gb=D86358 /gi=2913994 /ug=Hs.117992 /len=2809",1155,A,2856.6999999999998,A,-284.80000000000001,A,4778.3999999999996,P,-87.700000000000003,A,-127.90000000000001,A,-419.10000000000002,A,1229.0999999999999,P
34484_at,"Cluster Incl. AI961669:wt65e11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2512364 /clone_end=3   /gb=AI961669 /gi=5754382 /ug=Hs.118249 /len=565",1582.2,A,3207.1999999999998,A,611.60000000000002,A,1187.5,A,-1091.8,A,1056.3,P,1550.7,A,854.70000000000005,A
34485_r_at,"Cluster Incl. M21868:Human polymorphic epithelial mucin core protein mRNA, 3 end /cds=(0,182) /gb=M21868 /gi=188857 /ug=Hs.118249 /len=275",-7429.6000000000004,A,-20824.299999999999,A,-9039,A,-6270.6000000000004,A,-12003.9,A,-10676.6,A,-9600.5,A,-12146.700000000001,A
34486_at,"Cluster Incl. U88897:Human endogenous retroviral H D2 leader region, protease region, and integrase/envelope region mRNA sequence /cds=UNKNOWN /gb=U88897 /gi=2104917 /ug=Hs.11828 /len=1004",2002.5999999999999,A,307.89999999999998,A,-180.59999999999999,A,118.7,A,529.29999999999995,A,475.60000000000002,A,-275.80000000000001,A,541.10000000000002,A
34487_at,"Cluster Incl. AI022655:ox05g12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1655494 /clone_end=3   /gb=AI022655 /gi=3237896 /ug=Hs.11828 /len=503",1699.7,A,-2962.6999999999998,A,-1179.5999999999999,A,473.19999999999999,A,-1955.8,A,-349.60000000000002,A,-324.5,A,-1085.8,A
34488_i_at,"Cluster Incl. AF066065:untitled /cds=(136,1614) /gb=AF066065 /gi=3172530 /ug=Hs.118555 /len=1664",-1420.5999999999999,A,-8701.6000000000004,A,-2161.5999999999999,A,-321,A,41.200000000000003,A,-697.10000000000002,A,-1692.5,A,-2118.0999999999999,A
34489_f_at,"Cluster Incl. AF066065:untitled /cds=(136,1614) /gb=AF066065 /gi=3172530 /ug=Hs.118555 /len=1664",-564.89999999999998,A,4357.1999999999998,A,-837.5,A,-1324.7,A,1309.9000000000001,A,504.30000000000001,A,462.30000000000001,A,1675.7,A
34490_f_at,"Cluster Incl. AI189621:qd32h05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1725465 /clone_end=3   /gb=AI189621 /gi=3740830 /ug=Hs.118555 /len=782",451,A,494.30000000000001,A,-285.10000000000002,A,1992.2,A,-1773.0999999999999,A,1912.3,A,2766.8000000000002,A,-270.39999999999998,A
34491_at,"Cluster Incl. AJ225089:Homo sapiens mRNA for 2-5   oligoadenylate synthetase 59 kDa isoform /cds=(6,1550) /gb=AJ225089 /gi=3451239 /ug=Hs.118633 /len=1820",-1422,A,2215,A,-534.29999999999995,A,3986,P,-428,A,690.29999999999995,A,533.39999999999998,A,-613.29999999999995,A
34492_at,"Cluster Incl. AL035297:H.sapiens gene from PAC 747L4 /cds=(72,554) /gb=AL035297 /gi=4200248 /ug=Hs.119254 /len=1155",-76.200000000000003,A,2650.3000000000002,M,569,A,3181,P,-1222.8,A,101.2,A,464.39999999999998,A,-12.300000000000001,A
34493_at,"Cluster Incl. AF014794:Homo sapiens TNF related TRAIL receptor (TRAIL-R3) mRNA, complete cds /cds=(29,928) /gb=AF014794 /gi=2957263 /ug=Hs.119684 /len=1365",4486.8000000000002,A,5184.6999999999998,A,1590,A,-1175.3,A,48.200000000000003,A,513.5,A,-255.90000000000001,A,223.80000000000001,A
34494_at,"Cluster Incl. AJ003125:Homo sapiens mRNA for procollagen I-N proteinase /cds=(0,3635) /gb=AJ003125 /gi=3927999 /ug=Hs.120330 /len=3636",-1448.7,A,1844.5,A,-1135.5,A,1067.7,A,-1570.2,A,-188.09999999999999,A,1082.9000000000001,A,-1550.4000000000001,A
34495_r_at,"Cluster Incl. AJ011733:Homo sapiens mRNA for synaptogyrin 4 protein /cds=(109,813) /gb=AJ011733 /gi=4128018 /ug=Hs.120857 /len=872",1110.0999999999999,A,4050.9000000000001,A,3081.3000000000002,A,-95.400000000000006,A,4707,A,3316.3000000000002,A,1500.5999999999999,A,2559.5,A
34496_at,"Cluster Incl. AB017165:Homo sapiens PIG-L mRNA, complete cds /cds=(5,763) /gb=AB017165 /gi=4239985 /ug=Hs.120993 /len=1123",592.5,A,-757.79999999999995,A,-280.5,A,-57.899999999999999,A,-1970.9000000000001,A,318.89999999999998,A,1146.8,A,-1431.5999999999999,A
34497_at,"Cluster Incl. L39061:Homo sapiens transcription factor SL1 mRNA, partial cds /cds=(0,1670) /gb=L39061 /gi=632997 /ug=Hs.121044 /len=1703",199.40000000000001,A,2916.0999999999999,M,-408,A,-159.5,A,1943.0999999999999,A,240.69999999999999,A,127.3,A,445.5,A
34498_at,"Cluster Incl. D89974:Homo sapiens mRNA for glycosylphosphatidyl inositol-anchored protein GPI-80, complete cds /cds=(11,1573) /gb=D89974 /gi=5541649 /ug=Hs.121102 /len=2004",871.29999999999995,A,-592.89999999999998,A,-75.799999999999997,A,2148.0999999999999,A,-2332.8000000000002,A,-495.5,A,1981.7,A,-23.399999999999999,A
34499_at,"Cluster Incl. M86407:Homo sapiens alpha actinin 3 (ACTN3) mRNA, complete cds /cds=(18,2723) /gb=M86407 /gi=178057 /ug=Hs.1216 /len=2858",-600,A,-5184.8000000000002,A,642.79999999999995,A,-714.79999999999995,A,-2328,A,-1151.5,A,-1534.4000000000001,A,-1101.7,A
34500_at,"Cluster Incl. X94700:H.sapiens mRNA for calcium binding protein (HCALB_BR) /cds=(94,306) /gb=X94700 /gi=4454264 /ug=Hs.121811 /len=664",1368.2,A,1192.8,A,81.700000000000003,A,-91.099999999999994,A,-974.20000000000005,A,171.5,A,813.5,A,306,A
34501_at,"Cluster Incl. L40992:Homo sapiens (clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3 end of cds /cds=(0,1322) /gb=L40992 /gi=735897 /ug=Hs.121895 /len=1411",-1589.7,A,-2787.6999999999998,A,-387.80000000000001,A,-1148,A,-1523.0999999999999,A,-518.89999999999998,A,-983.89999999999998,A,-1565.5999999999999,A
34502_g_at,"Cluster Incl. L40992:Homo sapiens (clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3 end of cds /cds=(0,1322) /gb=L40992 /gi=735897 /ug=Hs.121895 /len=1411",563.79999999999995,A,-1863.8,A,-1085.5999999999999,A,-1244.7,A,2911.1999999999998,A,-627.5,A,595.20000000000005,A,-1414.5,A
34503_at,Cluster Incl. AF007146:Homo sapiens clone 23686 and 23885 mRNA sequences /cds=UNKNOWN /gb=AF007146 /gi=2852624 /ug=Hs.122075 /len=1991,1977.4000000000001,A,2564.5,A,1083.8,A,1775.0999999999999,A,3595.0999999999999,A,1891.8,A,2854.5999999999999,A,1755.4000000000001,A
34504_at,"Cluster Incl. U20530:Human bone phosphoprotein spp-24 precursor mRNA, complete cds /cds=(0,635) /gb=U20530 /gi=1195462 /ug=Hs.12230 /len=636",5441.3000000000002,A,3130,A,182.59999999999999,A,-2152.4000000000001,A,5671.8999999999996,A,-334.19999999999999,A,619.10000000000002,A,5366.6000000000004,A
34505_at,Cluster Incl. AL109725:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 362890 /cds=UNKNOWN /gb=AL109725 /gi=5689831 /ug=Hs.122679 /len=1396,3163.8000000000002,A,5834.6000000000004,A,2050.8000000000002,A,1724.8,A,778.60000000000002,A,1230.5999999999999,A,517.29999999999995,A,2735.1999999999998,A
34506_at,"Cluster Incl. M13928:Human delta-aminolevulinate dehydratase mRNA, complete cds /cds=UNKNOWN /gb=M13928 /gi=178328 /ug=Hs.1227 /len=1154",1040.2,A,1556.2,A,1063.0999999999999,A,941.60000000000002,A,890.10000000000002,A,94.099999999999994,A,352.89999999999998,A,1645.4000000000001,A
34507_s_at,"Cluster Incl. AB029002:Homo sapiens mRNA for KIAA1079 protein, complete cds /cds=(293,4657) /gb=AB029002 /gi=5689494 /ug=Hs.122708 /len=4954",1047.8,A,-313.19999999999999,A,927.79999999999995,A,-143.09999999999999,A,1541.4000000000001,A,117.59999999999999,A,683,A,2058,A
34508_r_at,"Cluster Incl. AI971726:wr07a08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2480822 /clone_end=3   /gb=AI971726 /gi=5768552 /ug=Hs.122708 /len=671",11698.200000000001,A,9326,A,8857.8999999999996,P,5331.6999999999998,A,2043.5,A,6408.6000000000004,A,12589.299999999999,A,9115.5,P
34509_at,"Cluster Incl. AF016833:Homo sapiens maltase-glucoamylase mRNA, complete cds /cds=(54,5627) /gb=AF016833 /gi=2826520 /ug=Hs.122785 /len=6483",-58.5,A,-1285.2,A,-109.2,A,29.800000000000001,A,1391.2,A,344.39999999999998,A,76.5,A,39.700000000000003,A
34510_at,Cluster Incl. AF070552:Homo sapiens clone 24767 mRNA sequence /cds=UNKNOWN /gb=AF070552 /gi=3387916 /ug=Hs.122908 /len=1465,-1410.0999999999999,A,789.10000000000002,A,3267.4000000000001,A,1975.4000000000001,A,2163.1999999999998,A,1455,A,4416.6999999999998,P,1019.3,A
34511_s_at,"Cluster Incl. AL080148:Homo sapiens mRNA; cDNA DKFZp434B204 (from clone DKFZp434B204) /cds=(0,3027) /gb=AL080148 /gi=5262600 /ug=Hs.123004 /len=3177",1134.3,A,-197,A,1553.5999999999999,A,1067.7,A,-1099.9000000000001,A,-309.89999999999998,A,330.89999999999998,A,-645.79999999999995,A
34512_at,"Cluster Incl. J03853:Human kidney alpha-2-adrenergic receptor mRNA, complete cds /cds=(38,1423) /gb=J03853 /gi=178193 /ug=Hs.123022 /len=1491",-737.20000000000005,A,-1509.5,A,680.5,A,783.20000000000005,A,783.39999999999998,A,1063.7,A,393.30000000000001,A,463,A
34513_at,"Cluster Incl. M31774:Human thyrotropin receptor (TSH) mRNA, complete cds /cds=(100,2394) /gb=M31774 /gi=340003 /ug=Hs.123078 /len=2470",367.80000000000001,A,3744.9000000000001,A,559.29999999999995,A,27.800000000000001,A,-1001,A,353.89999999999998,A,-62.799999999999997,A,-295,A
34514_at,"Cluster Incl. S49816:thyrotropin receptor-I {alternatively spliced} [human, thyroid, mRNA, 793 nt] /cds=(21,782) /gb=S49816 /gi=260246 /ug=Hs.123078 /len=793",330.5,A,-3431.5999999999999,A,-16.399999999999999,A,3236.5,P,1568,A,-690.60000000000002,A,-334.69999999999999,A,-831.79999999999995,A
34515_g_at,"Cluster Incl. S49816:thyrotropin receptor-I {alternatively spliced} [human, thyroid, mRNA, 793 nt] /cds=(21,782) /gb=S49816 /gi=260246 /ug=Hs.123078 /len=793",-182.09999999999999,A,-2510.5999999999999,A,-127.40000000000001,A,-555.79999999999995,A,2202.1999999999998,P,-249.69999999999999,A,292.69999999999999,A,-1670.3,A
34516_at,"Cluster Incl. U58130:Human bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA, complete cds /cds=(19,3318) /gb=U58130 /gi=1373424 /ug=Hs.123116 /len=3362",-1010.3,A,828,A,416.89999999999998,A,-548.89999999999998,A,-121.7,A,-459.89999999999998,A,405,A,-537.39999999999998,A
34517_at,"Cluster Incl. X66435:H.sapiens mRNA for HMG-CoA-synthase /cds=(122,1684) /gb=X66435 /gi=30008 /ug=Hs.123132 /len=1685",-696.89999999999998,A,-123.7,A,-167.59999999999999,A,164.90000000000001,A,749.20000000000005,A,629,A,-469.39999999999998,A,-49.700000000000003,A
34518_at,"Cluster Incl. AB028984:Homo sapiens mRNA for KIAA1061 protein, partial cds /cds=(0,2083) /gb=AB028984 /gi=5689458 /ug=Hs.123420 /len=4719",-2940,A,-3141.3000000000002,A,-660,A,-1376.5999999999999,A,-2551.1999999999998,A,-560.60000000000002,A,-1473.8,A,-2468.5999999999999,A
